categoria,likes,dislikes
Entertainment,13922946.0,1059104.0
People & Blogs,4623987.0,395117.0
Sports,2554272.0,221327.0
News & Politics,1088743.0,159571.0
Music,4976709.0,194911.0
Film & Animation,1788293.0,104465.0
Pets & Animals,1321193.0,39395.0
Gaming,2014974.0,123672.0
Howto & Style,1391692.0,123551.0
Comedy,2554981.0,176489.0
Autos & Vehicles,217190.0,16970.0
Science & Technology,520327.0,37975.0
Travel & Events,151264.0,33175.0
Education,95079.0,14552.0
Nonprofits & Activism,34003.0,3072.0
